qa_section,jurisdiction_id,year,category_family,metric,value,flag,notes
category_family,yrp,,robbery,row_count,660,,
category_family,yrp,,shooting_firearm,row_count,408,,
category_family,yrp,,arson,row_count,154,,
category_family,yrp,,homicide,row_count,53,,
hard_crime,durham-drps,,assault,row_count,3103,,
hard_crime,durham-drps,,auto_vehicle_theft,row_count,1164,,
hard_crime,durham-drps,,homicide,row_count,13,,
hard_crime,durham-drps,,robbery,row_count,267,,
hard_crime,durham-drps,,shooting_firearm,row_count,48,,
hard_crime,durham-drps,,theft_from_vehicle,row_count,1397,,
hard_crime,halton-hrps,,arson,row_count,48,,
hard_crime,halton-hrps,,robbery,row_count,155,,
hard_crime,hamilton-hps,,auto_vehicle_theft,row_count,6281,,
hard_crime,hamilton-hps,,homicide,row_count,33,,
hard_crime,hamilton-hps,,robbery,row_count,523,,
hard_crime,peel-prp,,assault,row_count,21250,,
hard_crime,peel-prp,,auto_vehicle_theft,row_count,17728,,
hard_crime,peel-prp,,break_and_enter,row_count,7666,,
hard_crime,peel-prp,,drugs,row_count,3045,,
hard_crime,peel-prp,,fraud,row_count,14937,,
hard_crime,peel-prp,,homicide,row_count,58,,
hard_crime,peel-prp,,robbery,row_count,2512,,
hard_crime,peel-prp,,theft_from_vehicle,row_count,1257,,
hard_crime,tps,,assault,row_count,254378,,
hard_crime,tps,,auto_vehicle_theft,row_count,78714,,
hard_crime,tps,,break_and_enter,row_count,84689,,
hard_crime,tps,,robbery,row_count,40248,,
hard_crime,tps,,theft_from_vehicle,row_count,106574,,
hard_crime,yrp,,arson,row_count,154,,
hard_crime,yrp,,assault,row_count,9038,,
hard_crime,yrp,,drugs,row_count,1808,,
hard_crime,yrp,,fraud,row_count,9779,,
hard_crime,yrp,,homicide,row_count,53,,
hard_crime,yrp,,robbery,row_count,660,,
hard_crime,yrp,,sexual_assault,row_count,733,,
hard_crime,yrp,,shooting_firearm,row_count,408,,
weapons_in_other,halton-hrps,,other,weapons_keyword_rows,153,needs_taxonomy_cleanup,weapons-like labels in other bucket
weapons_in_other,yrp,,other,weapons_keyword_rows,641,needs_taxonomy_cleanup,weapons-like labels in other bucket
taxonomy,ALL,,other,low_confidence_proxy,26657,needs_taxonomy_cleanup,category_canonical equals offence_raw in other bucket
geography,durham-drps,,,blank_municipality,0,ok,total=7819; blank_neighbourhood=0; blank_division=1
geography,halton-hrps,,,blank_municipality,0,ok,total=20252; blank_neighbourhood=150; blank_division=20252
geography,hamilton-hps,,,blank_municipality,0,ok,total=21367; blank_neighbourhood=21367; blank_division=21367
geography,peel-prp,,,blank_municipality,52,warn,total=82401; blank_neighbourhood=325; blank_division=385
geography,tps,,,blank_municipality,0,ok,total=581393; blank_neighbourhood=0; blank_division=0
geography,yrp,,,blank_municipality,0,ok,total=67153; blank_neighbourhood=0; blank_division=1
municipality_distribution,peel-prp,,,mississauga,42308,ok,
municipality_distribution,peel-prp,,,brampton,39711,ok,
municipality_distribution,peel-prp,,,toronto,165,out_of_region_review,unexpected municipality label
municipality_distribution,peel-prp,,,caledon,60,ok,
municipality_distribution,peel-prp,,,,52,ok,
municipality_distribution,peel-prp,,,oakville,43,out_of_region_review,unexpected municipality label
municipality_distribution,peel-prp,,,vaughan,18,out_of_region_review,unexpected municipality label
municipality_distribution,peel-prp,,,markham,10,out_of_region_review,unexpected municipality label
municipality_distribution,peel-prp,,,burlington,10,out_of_region_review,unexpected municipality label
municipality_distribution,peel-prp,,,haltonhills,8,out_of_region_review,unexpected municipality label
municipality_distribution,peel-prp,,,milton,7,out_of_region_review,unexpected municipality label
municipality_distribution,peel-prp,,,richmondhill,3,out_of_region_review,unexpected municipality label
municipality_distribution,peel-prp,,,pickering,3,out_of_region_review,unexpected municipality label
municipality_distribution,peel-prp,,,uxbridge,2,out_of_region_review,unexpected municipality label
municipality_distribution,peel-prp,,,ajax,1,out_of_region_review,unexpected municipality label
municipality_distribution,yrp,,,vaughan,21348,ok,
municipality_distribution,yrp,,,markham,15475,ok,
municipality_distribution,yrp,,,richmond hill,11375,ok,
municipality_distribution,yrp,,,newmarket,6466,ok,
municipality_distribution,yrp,,,aurora,3983,ok,
municipality_distribution,yrp,,,georgina,3493,ok,
municipality_distribution,yrp,,,east gwillimbury,1975,ok,
municipality_distribution,yrp,,,whitchurch-stouffville,1686,ok,
municipality_distribution,yrp,,,king,1352,ok,
municipality_distribution,halton-hrps,,,oakville,10642,ok,
municipality_distribution,halton-hrps,,,burlington,5094,ok,
municipality_distribution,halton-hrps,,,milton,2823,ok,
municipality_distribution,halton-hrps,,,georgetown,881,out_of_region_review,unexpected municipality label
municipality_distribution,halton-hrps,,,halton hills,655,ok,
municipality_distribution,halton-hrps,,,acton,157,out_of_region_review,unexpected municipality label
coordinates,durham-drps,,,mappable_percent,100,,mappable=7819/7819; null_coords=0; zero_coords=0
coordinates,halton-hrps,,,mappable_percent,100,,mappable=20252/20252; null_coords=0; zero_coords=0
coordinates,hamilton-hps,,,mappable_percent,100,,mappable=21367/21367; null_coords=0; zero_coords=0
coordinates,peel-prp,,,mappable_percent,100,,mappable=82401/82401; null_coords=0; zero_coords=0
coordinates,tps,,,mappable_percent,98.59,,mappable=573191/581393; null_coords=0; zero_coords=8202
coordinates,yrp,,,mappable_percent,100,,mappable=67153/67153; null_coords=0; zero_coords=0
dates,durham-drps,,,date_quality,1,warn,occ ..2026-06-16; report 2025-06-16..2026-06-16; blank_report=0; future=0; pre1990=1
dates,halton-hrps,,,date_quality,0,ok,occ 2025-07-01..2026-07-01; report 2025-07-01..2026-07-01; blank_report=0; future=0; pre1990=0
dates,hamilton-hps,,,date_quality,0,ok,occ 2021-09-18..2026-06-29; report n/a..n/a; blank_report=21367; future=0; pre1990=0
dates,peel-prp,,,date_quality,0,ok,occ 2023-06-30..2026-06-30; report 2023-06-30..2026-06-30; blank_report=0; future=0; pre1990=0
dates,tps,,,date_quality,174,warn,occ ..2026-03-31; report 2014-01-01..2026-03-31; blank_report=0; future=0; pre1990=174
dates,yrp,,,date_quality,0,ok,occ 2025-01-01..2026-06-30; report 2025-01-01..2026-06-30; blank_report=0; future=0; pre1990=0
dates,ALL,,,blank_occ_date_total,175,warn,not a hard gate; report_date available on affected rows
duplicates,tps,,,duplicate_event_unique_id_groups,51824,expected_by_design,TPS EVENT_UNIQUE_ID repeats preserved; silver_record_key uses record_key
