category_family,category_canonical,source_jurisdiction,source_label,source_count,coverage_matrix_status,publish_tier,mapping_confidence,notes
robbery,Robbery - Swarming,tps,Robbery - Swarming,2872,catalog_known_categories_json,v1_published,high,cat-0061 tps_major_crime_v1
robbery,Robbery - Vehicle Jacking,tps,Robbery - Vehicle Jacking,1798,catalog_known_categories_json,v1_published,high,cat-0061 tps_major_crime_v1
robbery,Robbery - Home Invasion,tps,Robbery - Home Invasion,1765,catalog_known_categories_json,v1_published,high,cat-0061 tps_major_crime_v1
robbery,Robbery - Purse Snatch,tps,Robbery - Purse Snatch,1265,catalog_known_categories_json,v1_published,high,cat-0061 tps_major_crime_v1
robbery,Robbery - Financial Institute,tps,Robbery - Financial Institute,1090,catalog_known_categories_json,v1_published,high,cat-0061 tps_major_crime_v1
robbery,Robbery - Delivery Person,tps,Robbery - Delivery Person,332,catalog_known_categories_json,v1_published,high,cat-0061 tps_major_crime_v1
robbery,Robbery - Taxi,tps,Robbery - Taxi,280,catalog_known_categories_json,v1_published,high,cat-0061 tps_major_crime_v1
robbery,Robbery - Atm,tps,Robbery - Atm,137,catalog_known_categories_json,v1_published,high,cat-0061 tps_major_crime_v1
robbery,Robbery - Armoured Car,tps,Robbery - Armoured Car,53,catalog_known_categories_json,v1_published,high,cat-0061 tps_major_crime_v1
robbery,Robbery To Steal Firearm,tps,Robbery To Steal Firearm,2,catalog_known_categories_json,v1_published,high,cat-0061 tps_major_crime_v1
theft_from_motor_vehicle,Theft From Motor Vehicle Under,tps,Theft From Motor Vehicle Under,102613,catalog_known_categories_json,v1_published,high,cat-0067 tps_major_crime_v1
theft_from_motor_vehicle,Theft From Motor Vehicle Over,tps,Theft From Motor Vehicle Over,3961,catalog_known_categories_json,v1_published,high,cat-0067 tps_major_crime_v1
theft_over,Theft Over,tps,Theft Over,9574,catalog_known_categories_json,v1_published,high,cat-0068 tps_major_crime_v1
theft_over,Theft From Motor Vehicle Over,tps,Theft From Motor Vehicle Over,3961,catalog_known_categories_json,v1_published,high,cat-0068 tps_major_crime_v1
theft_over,Theft From Mail / Bag / Key,tps,Theft From Mail / Bag / Key,1725,catalog_known_categories_json,v1_published,high,cat-0068 tps_major_crime_v1
theft_over,Theft Over - Shoplifting,tps,Theft Over - Shoplifting,826,catalog_known_categories_json,v1_published,high,cat-0068 tps_major_crime_v1
theft_over,Theft Over - Distraction,tps,Theft Over - Distraction,430,catalog_known_categories_json,v1_published,high,cat-0068 tps_major_crime_v1
theft_over,Theft Over - Bicycle,tps,Theft Over - Bicycle,219,catalog_known_categories_json,v1_published,high,cat-0068 tps_major_crime_v1
theft_over,Theft - Misapprop Funds Over,tps,Theft - Misapprop Funds Over,47,catalog_known_categories_json,v1_published,high,cat-0068 tps_major_crime_v1
