catalog_id,jurisdiction_id,dataset_group,source_class,bronze_table,canonical_column,source_column,transform_rule,silver_phase,notes
cat-0037,tps,tps_major_crime_combined,public_incident_records,bronze__tps__tps_major_crime_combined__major_crime_indicators_open_data_csv,lng,LONG_WGS84,REAL; invalid -> null,deferred,
cat-0037,tps,tps_major_crime_combined,public_incident_records,bronze__tps__tps_major_crime_combined__major_crime_indicators_open_data_csv,offence_raw,OFFENCE,,deferred,
cat-0037,tps,tps_major_crime_combined,public_incident_records,bronze__tps__tps_major_crime_combined__major_crime_indicators_open_data_csv,offence_secondary,CSI_CATEGORY,,deferred,
cat-0037,tps,tps_major_crime_combined,public_incident_records,bronze__tps__tps_major_crime_combined__major_crime_indicators_open_data_csv,division,DIVISION,,deferred,
cat-0037,tps,tps_major_crime_combined,public_incident_records,bronze__tps__tps_major_crime_combined__major_crime_indicators_open_data_csv,municipality,,,deferred,
cat-0037,tps,tps_major_crime_combined,public_incident_records,bronze__tps__tps_major_crime_combined__major_crime_indicators_open_data_csv,neighbourhood_primary,HOOD_158,,deferred,
cat-0037,tps,tps_major_crime_combined,public_incident_records,bronze__tps__tps_major_crime_combined__major_crime_indicators_open_data_csv,neighbourhood_secondary,NEIGHBOURHOOD_158,,deferred,
cat-0037,tps,tps_major_crime_combined,public_incident_records,bronze__tps__tps_major_crime_combined__major_crime_indicators_open_data_csv,location_type,LOCATION_TYPE,,deferred,
cat-0037,tps,tps_major_crime_combined,public_incident_records,bronze__tps__tps_major_crime_combined__major_crime_indicators_open_data_csv,mappable,derived,1 when lat/lng valid and non-zero,deferred,
cat-0037,tps,tps_major_crime_combined,public_incident_records,bronze__tps__tps_major_crime_combined__major_crime_indicators_open_data_csv,source_fields_json,all_bronze_columns,json_object of non-provenance columns,deferred,
cat-0038,tps,tps_sensitive_incident,public_incident_records,bronze__tps__tps_sensitive_incident__mental_health_act_apprehensions_open_dat,source_record_id,OBJECTID,parse_iso_date; coords_non_zero_mappable; preserve_all_columns_json,deferred,
cat-0038,tps,tps_sensitive_incident,public_incident_records,bronze__tps__tps_sensitive_incident__mental_health_act_apprehensions_open_dat,occurrence_group_key,EVENT_UNIQUE_ID,preserve source duplicates,deferred,
cat-0038,tps,tps_sensitive_incident,public_incident_records,bronze__tps__tps_sensitive_incident__mental_health_act_apprehensions_open_dat,event_unique_id,EVENT_UNIQUE_ID,store only; never dedupe in silver,deferred,
cat-0038,tps,tps_sensitive_incident,public_incident_records,bronze__tps__tps_sensitive_incident__mental_health_act_apprehensions_open_dat,occ_date,OCC_DATE,parse to ISO date,deferred,
cat-0038,tps,tps_sensitive_incident,public_incident_records,bronze__tps__tps_sensitive_incident__mental_health_act_apprehensions_open_dat,report_date,REPORT_DATE,parse when present,deferred,
cat-0038,tps,tps_sensitive_incident,public_incident_records,bronze__tps__tps_sensitive_incident__mental_health_act_apprehensions_open_dat,lat,LAT_WGS84,REAL; invalid -> null,deferred,
